GG_Award_ID,Golden_Globe_Award
GG001,Best Motion Picture - Drama
GG002,Best Performance by an Actress in a Motion Picture - Drama
GG003,Best Performance by an Actor in a Motion Picture - Drama
GG004,Best Motion Picture - Musical or Comedy
GG005,Best Performance by an Actress in a Motion Picture - Musical or Comedy
GG006,Best Performance by an Actor in a Motion Picture - Musical or Comedy
GG007,Best Motion Picture - Animated
GG008,Best Motion Picture â€“ Non-English Language
GG009,Best Performance by an Actress in a Supporting Role in any Motion Picture
GG010,Best Performance by an Actor in a Supporting Role in any Motion Picture
GG011,Best Director - Motion Picture
GG012,Best Screenplay - Motion Picture
GG013,Best Original Score - Motion Picture
GG014,Best Original Song - Motion Picture
GG015,Special Achievement Award
GG016,New Star Of The Year - Actress
GG017,New Star Of The Year - Actor
GG018,New Star Of The Year
GG019,World Film Favorites
GG020,Documentary
GG021,Foreign Film - English Language
GG022,Foreign Film - Foreign Language
GG023,Actress In A Leading Role - Musical Or Comedy
GG024,Samuel Goldwyn International Award
GG025,Promoting International Understanding
GG026,Picture - Comedy
GG027,Cinematography - Black And White
GG028,Cinematography - Color
GG029,International News Coverage
GG030,Picture - Musical
GG031,Famous Silent Filmstars
GG032,Juvenile Performance
GG033,Hollywood Citizenship Award
GG034,New Foreign Star Of The Year - Actress
GG035,New Foreign Star Of The Year - Actor
GG036,Best Outdoor Drama
GG037,Actor In A Leading Role
GG038,Picture
GG039,Cinematography
GG040,Actress In A Leading Role
GG041,Outstanding Use Of Color
